X_07j6EI4gu:     3528     
lY15B2VKtg0WSjnl:     514     5
oReunxYk_K:     999999     5
Z39ea9B:     -1519     false
Hvukrq1:     -2387     
JmDvwmWIbJY:     1552     
DayUZuzkvb:     -9411.126503855343     false
s8d_ikHIZzC:     not_a_number     random_value
h8kN:     4600     true
WKboY1:     -4195     false
MMU9_u0JdhJ3vdG9xI:     -6135.087228354143     false
z6:     1359     false
Im_i:     4949     true
Dj6voYluX:     3515     
ulV:     not_a_number     
BmwSQTYm3s3XvQ13_fZ2:     2751     false
dHT8n:     2105     
IUhZiVEO7M1KtGxIdItK:     4859     true
fl0zA9_9:     999999     true
TMt7SnkKPVXR:     999999     true
p9:     not_a_number     5
a_3E1KqiM8ZlHQiUDU:     999999     false
uGZx51dInuZOBiSfei:     not_a_number     false
fMjeGBj0zwP9VFr9:     885     random_value
Z3IYL6NB_bh77bKZO9T:     -2079     random_value
yjM:     999999     true
O:     2572     5
As7:     -353.84251877356473     false
P4NIzH7k:     -1481     true
ERawY01:     -4499     random_value
KSa_I:     2058     true
dMwFrD9fqyxUJK:     -5897.863164324553     5
zMfJdDwpMDWKQ:     -4358     false
dHr6aQC:     -447     random_value
KLzLYYrVUNpIajM:     999999     true
ubKQsAdj:     3940     true
VaqUW8XX87lR:     113     false
YvK:     -3403     true
j4iakk9xaU:     2126     
J0U_7804fyuOB9ousqBe:     -1507.7078179713244     false
k:     999999     5
oC6cg7DVYId4yyf:     999999     
Xb:     999999     5
s5vgUFCuJ:     5000.598989834629     false
eF:     4033.1523102312076     5
Jro8xtVPjqZQOpyx:     7385.404458813435     5
kxCTnvXG:     772     5
FGNxENMuQ5in:     1505     random_value
wsJoShfafAzRRHU2sU:     999999     
XtgsfDl0M:     -8791.699364514041     
ze0B19X2gbOj:     not_a_number     5
A76IUXEvf03:     not_a_number     random_value
RWn:     3212     false
A:     -4004     false
iNYFdjVD:     -642     true
cRop_T:     2257     true
G8N9pQOp3PEi9:     1774     random_value
fTMU:     -4130     
LDLuoXKiQla2eeaCREUd:     not_a_number     false
NY7QoTVWUD:     6980.776744385341     
DT79:     -3747     true
yWMQ9iZw6:     5087.606949185898     random_value
Mk4:     999999     5
RQJbZoqHAXaDSntdZb9:     1862     5
Fw7y0f60VCf98PU:     -2790     true
ATUrRn9nAqI8ckoJIcm:     999999     random_value
jFfQ1:     not_a_number     false
W1Bse:     5062.2248769096295     false
nbmCCBO:     1752     random_value
RLRVG4S9:     1686     true
I5DTyCsKIHG:     not_a_number     random_value
iXU71VvHjDmWuoD:     not_a_number     true
pBe:     not_a_number     random_value
z7H0tLeCTWoVAa88IZ:     999999     false
Lnnpc8OKIb83etdRysYI:     -427     true
TzwlKtsicPqASD:     -5354.870999251213     5
FHcTtysCo15sclZubgln:     not_a_number     true
dXo2RwlFQN:     3168     5
Certng_zW:     830     true
MKJ:     -6199.575614477309     
D3:     -806     random_value
iRVQC:     -4457.804390018545     false
rwIEmqLXp2mu6qgr:     1951     random_value
q9oQF7VFkpN8cgXYkaJi:     -532     false
IXRkPROMZIyhzlA:     -1187     random_value
KMLOOcW0iJtSj2lnVIp:     -1249     5
PiKjppH_jLBNoqu2vG:     9563.67750460136     5
Ak:     -2192     random_value
hrB_:     not_a_number     true
ro:     597     
PjCgFMfwNDp:     -3274     false
DL1K432GIrSL6wZ:     7931.5559852774895     
iJeHXXvXpQN1KnjKe3KS:     792     5
Mdg:     -186     true
wwIzQMXH17pu96HNwiMN:     -2945     5
dxXOEpVTtqwA:     999999     5
NED5jsYrXm:     999999     random_value
EcBLJzromC:     -7670.169163658527     random_value
s:     not_a_number     5
zChxN:     2642.16092693049     5
FReYRsGLIgh0bmrP:     999999     false
Bz:     -1991.733865617848     true
qndNlntv:     -97     true
nRK1hX_bn:     not_a_number     random_value
j0uXODSSdktut:     not_a_number     
PAC8D0hRMdh:     not_a_number     5
etP39:     767     true
WvNa7:     1114     random_value
ALXvU:     -131     false
jumygXSHbpIKZo_Ftd2u:     -2374     
TB0:     -3797     
afcSK3fmSItQ47VIbszq:     4107     true
Gz:     not_a_number     5
x0TcM:     7812.918103828546     
WzwenOQzsXfLBO9mIi3:     -125     true
dYc5m6B4pAD6OZO:     -876     
EfAGO4U_m6R22MMHN6l:     not_a_number     5
ODywpFUckTOD9QT8B0:     999999     false
cY:     not_a_number     
N:     -4223     
g:     993     false
AjM9O:     not_a_number     true
F3ws8Kyvr3G:     -4758.413399092154     5
kXJtsFAU7WPIWr0:     999999     random_value
GtL:     461     
ec9YBt78tQfDGv8L:     3200     false
k7CEGlnM8:     -3539     false
CWVR8QTHEUWeRX:     not_a_number     
e8noE9VgnHh:     1608     random_value
Sro_Gd:     -135     
xbEox:     -346     
l4fe9:     1887     false
V40Yp:     25.969440761627993     5
KrJ:     -4691     false
ckL43mWdST2rxUGkSIr:     1267     true
xLq2e2Ea_W:     999999     false
Ks7aLW:     -2076     random_value
cGuG2yJMdTN9YgY0zADa:     999999     random_value
FHP7kdU8bzlfU7eCEmdw:     -2292     false
DQZbjMEa4geYAqJlfY:     not_a_number     true
ZWUqccp6PCo2C1HjpI:     578     true
ECx9TM9g8p:     not_a_number     random_value
JbigpHQM:     4147     false
GCj45sqkYjbfMn:     4079     
kE5DD8loHFoYf2N6mYE:     -2770     
n:     -298     true
czJ7P24YL0Nl2jwta:     3308     random_value
x3GvmA2h:     -3103.3905363291115     random_value
cQwN:     999999     false
LX3o7jwg5wD5QuPrH:     not_a_number     false
kwpOViA4pEBqdGOICFb4:     -8041.9941986526665     random_value
gdFg0RsRYJF4l:     not_a_number     random_value
goKN1t80ZTzrB:     4498.021779630184     5
FuAFbZvyjpeVDawQt:     -5366.366832370381     false
Y:     589     false
OtMhT:     4170.615257818386     5
X97DgcQcPzMhXnbhf8:     1222     random_value
OhXEgtEuC:     -4810     false
QhcsiJ8dKiIO:     1087     false
B5MYNkd0EBwtAZ:     not_a_number     false
G_sWJDe:     not_a_number     false
mY0hWSQ7YcBWdEBGykk:     not_a_number     true
VNrOdD8C3cVpMNeTbV:     7158.387961660377     random_value
echjHwcmVjTgsj:     7467.7496889788345     
tPVWfv:     not_a_number     random_value
XYSuAvS6BxVJ5i2L:     1765     true
KAQhN0U:     not_a_number     
unC2XhNHvauV:     4695     false
y7TM:     2869     false
W:     6907.815883421761     true
cEZ9sNhKsu:     -1289     5
l6XxViwox6acq:     326     
VH9:     -3538     random_value
vWdeqaWnbWzLJwW:     not_a_number     
soLM56:     999999     true
Gk0OxhqD:     -3441     true
s905W2BjLTUtE61:     -9721.540490579007     random_value
UZgob3Y46CLN:     999999     false
IQNk1HYlj4:     3531     true
cQ9G4YGZfcNS:     not_a_number     random_value
XIrmcBSSK98:     837     5
TfIOPg:     -7714.575319474532     true
jRyOtrQfp1:     -1636     false
JJ04ku62u6B9HWnvKfo:     211     5
YCQRl4Xp:     630     random_value
dT_XiVEU9GhHBafKp:     not_a_number     true
iV7ZKV:     not_a_number     
hWaedOOYC:     2343     random_value
UwbEvqTZSG_YjCZZzBE:     -165     false
OCSPef0x:     999999     5
bmiMX7fxf2lJd:     not_a_number     true
u_lzb0:     1156     5
j:     999999     
vogijbPevQ2mb:     -4944     random_value
KvjjApWjmD:     2034     true
SZ:     2854     5
fgPyI:     -9863.300804119459     true
sFXJCCLYjKhJWy_:     999999     false
ZxpnFSo1VEQoT:     999999     true
eE6yVGE6c4hWJHccuZSb:     999999     5
jwJi:     not_a_number     5
HKQry9VUn:     4166.944416876648     false
MT:     3296     false
p:     999999     5
i:     1376     5
cUyMygvv2s7Ypv5l7:     999999     5
I:     4890.053969982424     
tgn4xwis59drQ8i:     3553     5
k8gldJxm_6OKW28:     1851.2652895612082     random_value
XYpRw:     not_a_number     random_value
k_fmiEr:     -208     true
O5bVarGqXf_FrPfw:     4544     
k13sQ5XWLQjcfqBloea:     1619.8007053303172     
zuEYaOX0nZznB875p:     -3578     random_value
ym6TJ:     -1919     true
OTkN:     not_a_number     
UF40FnitAeJcpLSegQb:     999999     5
PFNnrUcqBtbALPlYwA0:     not_a_number     random_value
VyjvScKW:     999999     5
KDjHbwYNIy885jSw5yis:     3516     
jALuTdgRDOQmImAnIV:     999999     random_value
MWX_o:     3489.818314873457     false
qyQuBUSsoVNP2SQePPpM:     -4327     5
XIVJv6L58xm0sNudxoB:     3530     false
xPmxe8OiQ:     2676     random_value
BPjKXJZKlaC0ChLYD:     not_a_number     true
H9izmxKFKw0VE6fvTksr:     -4105     5
i:     -459     true
p4f:     4935     random_value
CRrEfUShr6VWYEF:     not_a_number     false
fEmPh:     3513     
BjaBHNIT8:     -4615.264266284485     
f6cnrCNM5bIzWyB:     -1842     true
sHscIKa8B75DXePx_:     -391     false
vaHWhC:     -3672.5090452506956     false
JWQbWGrmC:     1596     false
ZSWROJB1:     3963.5671839350707     true
Oz_M2_ey1lVhRzWb:     not_a_number     true
mUOjBdUmcxgeCqH:     -7462.946747291979     true
tO:     396.37784860010106     false
YeL:     not_a_number     random_value
tvunsv1tn2yLQW12:     not_a_number     random_value
jVNPBXZD1_yYkDPY_AM:     -4466.709811107084     
vEnkug30cl7aqOZ:     1234     true
UHTIkqfT:     999999     false
zJsTWPgorGyAfU5VlK:     not_a_number     false
bdsIOTaPPud:     -9425.400405137745     random_value
pm7Emndp_:     999999     true
hiYlhErYmPWPvTNM:     -390     5
Ri5rfn4Ctowquj7Xo92k:     not_a_number     false
ciLgl:     -608     false
DTrxSpDaExwB4KCfSY:     not_a_number     true
nFidMg:     -4675     5
hnkHLd9NE_pzZltBYZk:     -7667.619127613241     random_value
FMqhgPNga8Zx:     999999     5
hxVEKGhXv3:     -9737.714498777208     true
fJ9jToGrVz:     -1938     random_value
jpbeaEEaflVkUFdw:     1299     
l6imBio2bAi:     not_a_number     false
N3ilCerXga13G:     -448     5
YRPvHq30pfvAZfz6:     999999     true
lzlAdt6jeflOUu_P:     1063     5
eL43OiyMkbCU9:     not_a_number     random_value
thtlwjhrNUs4r66Csk:     -2580     
pvwqQMbJ1lX:     999999     true
MJ6MycJoye5X4mXBsq:     4865     5
RpgP55yCaC7m1C5U:     4572     false
B5eI:     2749.6639924293468     false
endfckx:     135.58928036488214     true
dgrEIds1id:     2050     false
VI_Bi3GeKGkL:     -1045     5
N7VqM4vvjpDJO:     4841     
NZ90c7Yi2JF:     -4748     random_value
pgnsngyXd5ZxXADGH9:     -4103     random_value
QcvZUQBA1u392CU9:     -1362     true
zupJ6_hPX5rR:     -9493.050129313719     
YEhPLbhmk:     3441     true
XeqXbF6D:     999999     5
VD7m9:     2640.7613048631392     random_value
R0nq:     999999     false
uJKnDhh1zH:     -189     false
vQVcUM3BvP:     2426     random_value
sZs7MdtEwsNf971Fm7c:     not_a_number     false
DvqV3QMg:     -4747.033764782691     true
H9hrronztwQltRaGGO_:     9241.368880135844     false
y5Wn3MJ_ipH3PC8Fdz_H:     6247.948293010393     random_value
Dnbknmum7fJR:     9630.01706786182     
p:     21     random_value
nUU:     not_a_number     true
Yjir9UVBJu0G3BIIbjJ:     -2104     5
w_l2Ij1cfQR:     999999     random_value
q5gTwaMJ0:     -3688.979844359612     
lsq93:     -2007     
uYPOg4Mg5e0qcZk:     -37     
q2bO9pALCqrx:     -2870     false
VUqyZ5B:     not_a_number     false
n8qa9D1NjKjt:     -2316     true
Ty3Ap51NCglI_cMOG7:     2874     true
C5WnbizU47OgeU:     999999     
N8N:     -9820.698985749534     
Ec2uOs6J7I:     999999     true
qjDRCaRPPX:     -1998.8070528179815     
JbR50gPPZ3P0NKX5zVz:     3642     
W8xgd08UJ:     999999     random_value
y2E:     -1791     false
iqYe3iftKVdbgt32ZY:     -3613     5
o7q9dflSpn_Lxi:     838.7269713758742     false
rjnmguFUO5K1xZtEqTIA:     999999     true
aBfeiKJT0OE89qJim1:     -1826     
Rkh:     1939     true
p15DZ8TL:     999999     
Ca6F_8FFu17JAMczygw:     999999     5
C6XZIg6i32XQ:     1317     
c52xJlitaRCxeBf0:     23.28680734532645     false
Iq8He:     -2141     random_value
WLxhGTasUENTMNDxZw9:     not_a_number     false
jqo6NYhmUHJWAoMOPO:     -4534     random_value
c1ny:     -2583     5
Inb_17rF6S4yLIOIGtwB:     450.20851020793634     5
rgz:     -1546     
D7L3Nhh3g_gyoYknSx:     9306.19047787238     false
UtTsTjKD_J:     6662.534352273811     random_value
oGDilOy:     -2717     true
vX:     1163     5
Hgi8YVT9NFxSmAm9LJx:     -2742     random_value
jKDqmwPyquneaSwp33p:     -9177.553796651351     false
OjqUVQu4ODTR:     -2909     5
CyIOf5rTauFobGbi:     999999     random_value
AivvxKr6L0J:     2801     
nCKXDkmh:     999999     
M2FARV7Hh3Splvq:     1838     random_value
fo45:     -3215     true
OF82aHk2YWPsnA:     -4678     
wPh:     670     5
FiylBzM:     -1723     true
O_mRbOlT:     -8745.526088547093     5
aky89W:     999999     
wlncq_vgzJ:     999999     random_value
N8FmBki03yoW5Lg4N:     not_a_number     5
Cp8Mg:     422     false
lyap:     not_a_number     true
B84Ppjy:     4126     true
vYF29byXzloKP3:     999999     5
BrRVhVN:     304     random_value
n5Up7vVvYyMQaX2i4pve:     4216     true
CB:     3621     
pVOlXcPGlLhbWeN:     not_a_number     5
fCJX8QlqZuo9:     -3596     random_value
WI3pSTZgBP:     not_a_number     
IvOmXM:     not_a_number     false
BY1numiv6a5LmLum:     -801     true
nmYMZtX:     -3285     5
lxSQCNVsmxmV:     1584     true
egK64b7J:     -1699.817371277897     random_value
iZzELROH89VCvAL:     999999     true
zn_Tk:     not_a_number     5
R7jFl:     -6155.41732341552     true
ZCawwmQ0lvu0wz0:     999999     random_value
aOETaGelv:     999999     5
LePyvV86FEzByay7fl:     1117     5
NU:     -4771     
yOFxdndKayxwihqux:     295     5
plt5RrhK:     -1018     false
uK7:     -2648.5521696264395     false
pnpqO0P9:     not_a_number     false
bvgIRWBN7JqXaG7AJ:     1295     5
RretnkozGnVy:     not_a_number     
k9yAYP:     -662     random_value
jsOq4f070kRevhb:     4954     5
qd:     999999     random_value
VuwNI:     1051     true
kSt5WhZLDDC_:     494.20638212475023     
qvaRY9LuHJqK:     3085     true
Mw5jVS_6XfGFD:     -527     true
Hqq3JmXBb3Z:     949     
fpXZPuh3:     1945     
TEEqVj2Zpca:     not_a_number     true
eGYCEff8m:     3921     
ia0wHyLCEB3:     not_a_number     false
Ou50_ROqOcTUalnM9X:     -4699     random_value
ad6l974M0MdVzOq3:     1612     false
oAJZ:     -4041     random_value
OcLjvyeBGJ0ApkMspqr:     8568.8180673645     true
R6_cWrFCdVRSrKJe07K:     -2947     true
Ef0H:     1991     random_value
irswx9m_r:     -4525     
ij:     -1061     
GVsCz8bvrQ_dJI:     2561     random_value
fvrrxs5:     999999     
CpfgdPXJSsmsrdBq8RC9:     -3796     5
Rr3Mvk6hmx:     -3521     true
WYvl4XoileNZZw1S_:     4291     random_value
JJadGophMBfi:     4593     
n6X2seeO:     -7680.346944715777     
FpicOn:     1853     false
Q7lPdwptTV10OSJlP:     2045     random_value
Jv6N:     1333     
U5S5E:     3393     true
V:     1736     
Zg8lriB5YqPGPvfIIM:     -4818     5
eDxCiE3_T:     not_a_number     5
j77lR5PcC4r1E2Lq:     3775     random_value
HsY6j:     not_a_number     
TMv5:     3329     
heYZeKhcbksW3:     not_a_number     random_value
vK7wKTgnXsUOyem5:     not_a_number     
UuEdd43A:     2570.6277268016984     5
j31JhMtz03uS:     -350     5
thOCU_:     -1413     5
z9u:     4146     5
LMYNY1Y2:     -3653     random_value
q:     -2383     true
qhRt:     4901     
E5BCs6xCjzrL4Ya:     4426     false
uxMpukNrC:     999999     false
IzVujt0KJ2I:     2917     true
MMWY9YuoiQTjL:     -249     true
MRB4QKTicSMYbVlCNRi:     999999     true
sLux2XTEL:     999999     5
u8NQKnhtWWFjj:     3921     5
xBBeNcQtshg:     2883     
wkpYgegrmco:     not_a_number     random_value
Zke:     1690     false
udrYYMo7:     1076     true
Xo3J8:     not_a_number     true
EnCrZwCphiYX3jYdhT:     2472     5
cS0cO:     660     5
IvWahonqmSuGrgBD4:     not_a_number     random_value
Uv:     999999     random_value
c43riBPAfopoIfh6c:     not_a_number     
XHWRUTKjUcG2zPens:     1702     true
MIoY:     999999     
qyY6Ae:     999999     false
SEwXePclOs:     999999     true
j_5Mwy3IgXJ_JMrD_:     1404     true
JqTD7U3Mv:     999999     
wU_Lhy44F_PL53:     not_a_number     5
IJymHv6BADi5BDJaLQQ:     not_a_number     true
bLIKBTzX17f:     not_a_number     false
atL813:     999999     
DDQDSKaz6H0r7m822k:     999999     true
gXHhy8wDYI9Rdh8:     1702.4574015367743     5
V:     -7739.881595288704     false
gzwEdKi:     -2065.158768922098     false
XdS0nNgZG9:     -3000     5
vms5Q:     -1609     random_value
rGH2UcRfBRc6OJ:     1201     random_value
Wb4vYj:     -7     
sWYTvx7VxeKwH2n2ci:     948     true
z8hHbcfl5mbxhbSA:     -7390.406706210497     random_value
hw7C2spI0h:     not_a_number     true
kWghxu:     -1165     5
pL9K7md:     2650     random_value
ChJjzMooroHgfSKEIzD8:     1180.6485679961352     true
gnhrmOx6zx4R9jn:     -1395     true
hpUS5fOv0Mqy:     1924     5
uW0TwNDud6s9g:     999999     
V5FhlbAGvuUeD6kLgH:     not_a_number     
F:     -4241     true
zGEK1kJr8140UwTn_2:     672     random_value
STPPTVA9nWDbpzCbzbgP:     4877     false
eajgF3W2AvGxmZr5wlny:     not_a_number     
LpaMHvaq:     -3003     
dK0qFC81f:     -3973     5
q8KM4n_SxjRG7HB:     2322     
w41M6xHoen3FITSZ:     -3949     false
wfp5E8lYVeea:     -925     true
eNiKCd37SmH2eXN:     -2822     false
DRzQ3:     not_a_number     false
pFf8C5Gko_DiUERkgE:     not_a_number     false
WqAXK4j6vIOmdev:     -460     false
vLZzLhP3Z:     -4509.858286191111     5
r:     not_a_number     false
LRF7DDQCAQXi:     729     5
sczd3uB_:     3151     5
j2AJ:     -4763     false
gaE0K:     999999     
WoVhF:     999999     
oNrDeW9EyKJkR0Xp:     -3786.8415317381214     true
QsJyOIF3kjXg:     9897.828904328853     
m2Z8Yd1jeCB9vR:     -3632     
uNKw1_QsvuZjPvz:     -4725     5
KejYdRACC5X1:     not_a_number     true
bWQpIBxslWyf5429:     2802     random_value
zipWpCv6jhxmP719:     -473     random_value
AEfk5Q:     not_a_number     true
hWK7WFL:     -347     
Esp5yTev:     3780     true
wEVOIb:     999999     false
u9YSLtiQzPysyYO:     not_a_number     
g1N4Xjc2:     4350     5
j0YWt_Kj:     -1250     true
n8I6cbknsoylxd:     1279     random_value
Tsr2frEASPYQaBO:     4194     false
hu6iFjQdfTg:     -245     true
ZsblM:     765     random_value
DJbp:     not_a_number     false
rOQzx:     1994     true
H:     1580     5
aa:     7531.765577867991     false
Gghck:     not_a_number     5
gqvG:     2995     5
Vh7lhE_7NuSol:     6647.09710564552     false
r9CbOmjAz5900ojs:     999999     false
t3NzrPjmABUXUw_3999:     -4695     false
V_3okzeTj:     999999     false
QV0tGONs3KiEa:     not_a_number     random_value
lK_DgE9fKyTY:     999999     false
TcyU:     -2711     5
XQqTcs4KbQOTprC:     not_a_number     
xu_Nc:     3207.7897692988317     random_value
RXl:     999999     true
vBs8:     1203     true
u6KbVo5:     -2633     5
MbEeacaDxbO2TY03M:     -9012.422353986442     random_value
hkBDxud7uA:     1890     true
biBZuaWT0QKLHEr:     4871     5
v9Lhmp8IO0I9g:     1215     true
Tr9skp4WBkIj3FpAhbf:     -3615     true
OAFynYPPo:     not_a_number     random_value
vcGWVI0iWkAOSxHDGBz:     4450     random_value
q_FJ:     999999     
qavnvFIC_:     -3404     true
qurjTzYdR:     3374     random_value
Rrf8aY:     -4747     
BmSfjb66bBz5:     not_a_number     random_value
uOq9yTa9j9:     not_a_number     
aHYPH7ebRQe3RKVd3X:     999999     
qP5GdPJUFs4pWz20:     405.2134671041222     true
DD1zq_F8:     999999     5
p5Gf0sTYPZSw:     -7113.067020826469     
ibUyFAwKP4RVg5:     -3564.071196505718     
cnT:     999999     true
u3cKXFI:     not_a_number     5
QvlXRsDNTtXiIDEanglb:     3080     5
CqQJlkjs34AN9IM:     -8896.07309676728     
LmJbdE:     -3290.6484785280154     random_value
b:     not_a_number     true
u:     -4212.913515696626     false
SNpDaPtlB:     not_a_number     false
f8VQjJTSxJRo:     -2901     
zk:     3770     5
AYe:     -3095     
ZyXPodrmZpLQmm:     999999     5
yw0t3daw_FdCIbhDvcz:     999999     
P1B1MduNtRlyXO2U0Y6y:     999999     true
ViZuUGxTkudoYO5GA:     999999     true
UozqCqpaQhlzWV:     not_a_number     random_value
L5vY5w:     999999     true
bmfCy2wB:     -1405     true
HFyEtlUOX7p0u9Yd653m:     -2732     
R4BlhATHsjxaCXG8:     7109.427100847617     true
NDEIjhD9H:     -142     false
h:     999999     false
isIZSgWlS9:     4529     
QS_:     -2880     false
O7ijfH:     not_a_number     5
dRYmD3:     999999     5
XSpOlzYUD7SQ16P:     999999     
BcRy_uWwpH7eD1ZIlWc:     -2192     5
Jd_ZFJ:     1844     5
XqYRE8pX:     387.32352371468187     true
h_FZvktwh:     360     true
PE5w:     -7984.338788859062     false
t7vby7eJoPe8MHNsqsN:     not_a_number     
PBwCs3sOZaxWr_wwor:     1814     false
AEdmT_CP:     437     true
rax5dJ6IrZ:     1994     5
jz1leweBa9i:     not_a_number     
H3UxbQXnyd93JZ:     -119     5
k0P9aIb:     -590     true
beDMn_A_faCuJY0mN:     not_a_number     
mVPy3s1uWekfcd5:     not_a_number     5
jsqpdZ7Jrp3hW3uEM:     -938     5
sG:     999999     false
vqf_qJz:     -8763.962070825051     5
Gy6wfZvrRiCaQNv:     3685     false
FZgH6QEdRCai:     -2528     true
QWfSycCZEZURT25cIZ1:     not_a_number     true
cNNwETyUyLrtCsK:     -781.6531856132442     random_value
HMWECouU1rfHqgm0q:     763     false
dPkfAey7jhkT:     not_a_number     random_value
D:     1977     true
GEareYOo1qNlls9HxBP:     not_a_number     false
Lw8khYXbUc2S:     1748     random_value
veV_6uCRtg0M:     999999     5
qo:     999999     random_value
aGgovpuk:     4785     false
aJmkK:     999999     false
e2Yoj92kSXQrhVPS:     3318     5
py4NQ6hQG:     -1673     random_value
UgqDMY75E3sc:     -3141     true
XFfAuVRQFOO8Ob_rr:     999999     
j_nWwZkeO6qXTyke:     not_a_number     random_value
plTRq6ei1bYx:     -1027.904965006337     true
lmP:     -1060     false
nTg5G_rDHN2eZL153Lx:     -1838.3451313814867     5
yNFpfZlQ5qVRO7W:     9775.995646453066     false
ef34vpm7ZNW31e:     -751     random_value
g:     999999     false
XlQEJ:     875     
z2n3748nN65Sk7LB:     -4003     false
w4:     2359.2039629594638     
zvXa5fuIXJ3WRD21Ei:     not_a_number     true
pB0fuZEZF3t:     525.9237967718273     5
h1R1uMiUWu:     4086     random_value
rClLbMGs3ShUj:     -2705     false
GN7P8I9323:     -3430     
DE26IYfP:     not_a_number     
atex9FWreQOMSBEK0J:     999999     5
F4:     not_a_number     true
GsMK7s:     -2316     
kNcM3EJ:     999999     5
ZQWs:     -983     random_value
uWa:     2983     false
FSM:     2736     false
rLS:     1175     random_value
NCc2h_1naC3CB6yPU:     4311     
qsspkZ1uxIo2:     not_a_number     true
RLs_rQ3NV0pBo:     not_a_number     
pQ2zB_:     not_a_number     
M0qpq1VOfE_wQvi:     999999     
LynYc:     -2462     5
Rv1kbhbPi11b4m9cQx:     -873     false
cRqBd:     -7565.879322864217     5
axGc7:     -2075     
U_1e:     -3128     random_value
axmuSG6l4d0JPs:     not_a_number     false
tgijTZAWHV40nprp:     3136     random_value
fS:     not_a_number     false
S:     -7705.416273699348     
RZDkjZvdhckZZcmYY9:     3091.4306256226046     true
OmUU7JV:     2071     true
ZWTJ:     3675     
i1V9Utu:     -533     
D1oJZCm1:     999999     false
zbmRVbICxV5s9ZjOisz:     759     true
Gou92CAxHg:     999999     
OwRyBwW:     not_a_number     5
EehtOqUC:     3449     false
ymla2B6C:     999999     
C:     1223.3920583931995     5
u33hQ7nKH6FkBDEwjtG:     4215     5
B8je5g54wk:     999999     false
nQrEKK:     999999     false
YBpMVvXEu:     999999     true
uif0TcE9Q:     not_a_number     
NtuAuhWEJKJ0O3m70edA:     -4299     
Bb:     966     true
RZ1k:     2881     true
ha12kWevZwal:     -2792.733260061861     random_value
gb9fS9A1Z1:     -4421     false
WocIq3QqX2Bb:     not_a_number     
MdUIztshUdRhnSzg:     3878     random_value
a6WCWPXoIVM_7n:     not_a_number     random_value
pZka:     not_a_number     5
Bf8j2Ngrk:     9178.800843538098     true
E1U:     -655     random_value
PelAsqbxLPVdEmtpXY:     999999     random_value
OSNHRk9lnXMch:     -7165.720750806661     true
LhnNLjZw:     not_a_number     
vNs23dNwlOVH_VW:     -7971.650027270274     true
c0_gpIduaqRwW:     4520     false
MFceGA2RJ6hm:     -3033     true
